Temeprature,Humidity,CO2,Misc
31.5,70.6,674,444
31.4,70.4,649,447
31.5,70.5,641,449
31.5,70.5,634,449
31.5,70.4,626,450
31.5,70.4,620,452
31.5,70.3,612,451
31.5,70.2,587,453
31.6,70.3,597,454
31.6,70.3,594,455
31.6,70.3,579,453
31.6,70.2,583,454
31.6,70.2,560,455
31.6,70.1,563,455
31.6,70.1,570,455
31.6,70.1,563,455
31.6,70.1,555,456
31.7,70.1,559,456
31.7,70,554,455
31.7,70,550,453
31.7,70,547,453
31.7,69.9,544,453
31.7,69.9,542,453
31.7,69.9,537,453
31.7,69.9,531,452
31.7,69.9,523,451
31.7,69.9,528,451
31.8,69.9,528,451
31.8,69.8,523,452
31.8,69.7,523,452
31.8,69.7,486,453
31.8,69.7,511,453
31.8,69.7,511,454
31.8,69.7,500,456
31.9,69.7,506,458
31.8,69.6,507,461
31.9,69.7,496,462
31.9,69.7,502,464
31.9,69.7,497,466
31.9,69.7,495,467
31.9,69.7,498,467
31.9,69.7,496,469
31.9,69.7,492,471
32,69.7,486,472
32,69.7,492,472
32,69.8,490,474
32,69.8,490,475
32,69.8,487,477
32,69.7,487,479
32,69.7,483,479
32,69.7,483,482
32,69.7,483,483
32.1,69.7,485,486
32.1,69.7,483,501
32.1,69.7,481,494
32.1,69.6,481,498
32.1,69.6,463,503
32.1,69.5,478,505
32.1,69.5,479,507
32.1,69.5,467,507
32.2,69.6,478,507
32.2,69.6,464,504
32.2,69.6,466,506
32.2,69.5,475,511
32.2,69.5,473,578
32.2,69.5,464,606
32.2,69.3,474,592
32.2,69.3,470,579
32.3,69.4,466,573
32.2,69.3,466,566
32.2,69.3,466,545
32.3,69.4,467,546
32.3,69.4,466,540
32.3,69.4,464,539
32.3,69.3,459,543
32.3,69.3,464,546
32.3,69.2,465,550
32.3,69.2,465,554
32.4,69.2,464,554
32.4,69.3,448,554
32.4,69.3,464,557
32.4,69.3,464,561
32.4,69.3,458,564
32.4,69.2,464,563
32.4,69.2,464,566
32.4,69.2,456,569
32.4,69.2,464,570
32.4,69.1,462,574
32.4,69.1,457,577
32.4,69.1,461,579
32.5,69.2,462,580
32.5,69.2,456,579
32.5,69.2,449,580
32.5,69.2,461,579
32.5,69.2,458,580
32.5,69.1,455,580
32.5,69.1,457,579
32.5,69.1,445,578
32.5,69.1,459,579
32.5,69.1,459,580
32.5,69,457,581
32.5,69,458,581
32.6,69,449,581
32.6,69,450,580
32.6,69.2,446,578
32.6,69,432,577
32.7,68.9,439,577
32.7,68.7,442,575
32.8,68.8,438,573
32.9,68.7,442,574
32.9,68.5,434,574
32.9,68.4,439,575
33,68.4,447,578
33,68.3,448,579
33,68.3,449,581
33,68.2,432,582
33,68.1,453,583
33,68.1,458,588
33,68.1,453,589
33,68.1,456,589
33,68.1,463,593
33,68.1,460,594
33,68.1,465,598
33,68.1,465,599
33,68.1,465,600
33,68.2,463,603
33,68.2,464,606
33,68.3,465,607
33,68.3,452,607
33,68.3,464,610
32.9,68.3,468,611
32.9,68.4,466,608
32.9,68.4,476,610
32.9,68.5,474,610
32.9,68.5,467,610
32.9,68.6,467,609
32.9,68.6,469,610
32.9,68.7,474,609
32.9,68.8,479,611
32.9,68.8,475,608
32.9,68.9,481,611
32.9,68.9,479,613
32.9,68.9,478,615
32.8,68.8,479,615
32.9,69,479,616
32.9,69.1,480,617
32.9,69.2,470,616
32.8,69.1,481,617
32.8,69.2,475,618
32.8,69.2,483,619
32.8,69.3,481,618
32.8,69.3,479,617
32.8,69.4,484,618
32.8,69.4,492,618
32.8,69.5,483,619
32.7,69.5,494,619
32.7,69.6,491,620
32.7,69.7,478,619
32.7,69.8,485,619
32.7,69.9,480,620
32.7,69.9,489,620
32.7,70,496,623
32.7,70.1,487,625
32.7,70.1,493,628
32.7,70.1,483,627
32.7,70.2,495,629
32.7,70.2,493,627
32.7,70.2,491,627
32.7,70.3,489,627
32.7,70.3,493,629
32.7,70.3,493,628
32.7,70.4,491,631
32.7,70.4,496,629
32.7,70.4,496,630
32.7,70.5,487,628
32.7,70.5,491,629
32.7,70.6,497,633
32.7,70.6,479,633
32.7,70.6,496,634
32.7,70.6,496,634
32.6,70.6,490,635
32.6,70.6,495,637
32.6,70.6,482,637
32.6,70.6,491,639
32.6,70.7,500,640
32.7,70.8,491,641
32.7,70.8,496,641
32.7,70.9,496,641
32.7,70.9,493,644
32.6,70.8,496,644
32.6,70.9,493,644
32.7,70.9,499,646
32.7,70.9,496,646
32.7,70.9,495,647
32.7,70.9,496,650
32.7,71,484,650
32.7,71,496,652
32.6,70.9,490,652
32.7,71,497,655
32.7,71,496,657
32.7,71,470,656
32.7,71,496,656
32.7,71,496,656
32.7,71,485,656
32.7,71.1,495,658
32.7,71.1,499,657
32.7,71.1,491,657
32.7,71.1,498,657
32.7,71.1,496,657
32.7,71.1,493,658
32.7,71.1,495,658
32.7,71.1,493,659
32.7,71.1,492,657
32.6,71,483,658
32.7,71.1,496,658
32.7,71.1,495,658
32.7,71.1,496,658
32.7,71.1,496,657
32.7,71.1,496,656
32.7,71.1,495,654
32.7,71.1,490,655
32.7,71.1,496,655
32.7,71.1,496,656
32.7,71.1,495,655
32.7,71.1,496,656
32.7,71.1,497,656
32.7,71.1,495,657
32.7,71.1,495,657
32.7,71.1,496,657
32.7,71.1,492,658
32.6,71.1,496,657
32.7,71.1,486,656
32.7,71,492,655
32.7,70.8,496,654
32.6,70.6,495,651
32.6,70.5,494,638
32.6,70.3,494,566
32.6,70.1,494,557
32.6,70,494,563
32.5,69.8,491,555
32.5,69.6,486,544
32.5,69.6,487,540
32.5,69.8,487,533
32.4,69.9,493,519
32.4,70.1,479,500
32.3,70.1,481,490
32.3,70.3,481,493
32.3,70.4,485,484
32.2,70.4,485,474
